ENTREZ_ID,GENESYMBOLS
1,AT3G26380
2,AT4G11410
3,AT5G05750
4,AT5G24750
5,CGR3
6,AT3G54460
7,AT2G21195
8,AT1G09794
9,AT5G48020
10,AT2G32560
11,AT3G61800
12,RABA2D
13,AT1G08110
14,AT4G32208
15,ORF262
16,AT5G53815
17,AT1G06200
18,AT5G52840
19,AT5G10400
20,ZR3
21,AT3G61200
22,AT2G28430
23,SYP31
24,AT5G53810
25,AT5G50100
26,AT2G25450
27,ESP
28,AT5G51080
29,VPS25
30,AT5G52547
31,AT3G16750
32,AT1G76200
33,TBL5
34,MEE25
35,AT1G13390
36,AT5G51980
37,AT1G03940
38,AT1G22510
39,AT2G43745
40,UBP11
41,AT3G10860
42,AT4G21650
43,AT5G08460
44,AT5G63020
45,AT1G20515
46,AT3G24518
47,AT1G32583
48,AT5G66420
49,AT3G62790
50,AT5G16450
51,AT5G18920
52,XXT3
53,AT2G27730
54,GR-RBP5
55,AT1G16960
56,AT4G34070
57,HPR3
58,NRPB6B
59,AT3G26080
60,AT1G11905
61,AT3G03020
62,AT4G32470
63,AT2G28426
64,MAC5C
65,AT3G51940
66,AT2G29910
67,MEMB12
68,AT2G40765
69,AT3G18410
70,AT2G31490
71,AT1G62850
72,CYS1
73,AT1G23170
74,AT1G23470
75,AT5G51620
76,AT5G54064
77,AT1G72020
78,AT1G33102
79,AT5G03390
80,AT2G05260
81,AT3G46150
82,SCL33
83,AT2G34585
84,RABA4E
85,NIT1
86,AT4G03820
87,AT3G13437
88,AT2G24683
89,AT5G14350
90,AT5G45520
91,AT3G06310
92,AT4G07526
93,GLX1
94,AT2G15280
95,AT5G64130
96,AT5G23955
97,AT2G21190
98,SQE6
99,AT5G51795
100,AT5G58740
101,AT4G02120
102,AT2G05590
103,AT1G14340
104,GRXC1
105,DAC
106,AT1G19560
107,AT4G04750
108,TXR1
109,ROC1
110,AT5G18800
111,AT1G54260
112,ATX1
113,Lhca6
114,PSRP6
115,AT4G19050
116,AT4G20150
117,ZFWD3
118,NKS1
119,AT4G00600
120,AT1G69900
121,FMO GS-OX2
122,PAP12
123,AT3G53680
124,AT2G46540
125,AT1G67785
126,AT4G20340
127,PERK15
128,MLP423
129,AT4G10970
130,ENODL19
131,HIPP20
132,AT3G57600
133,FRI
134,AT1G12620
135,UMAMIT22
136,HHP5
137,AT1G20270
138,AT3G13845
139,PHT1;5
140,AT2G42365
141,SEN2
142,RUG1
143,SDH5
144,AT1G06020
145,AT3G20200
146,ABCI17
147,AT2G07811
148,AT2G38710
149,HIPP21
150,AT5G46720
151,ULI3
152,AT3G56210
153,CYP81K2
154,AT3G52050
155,AT3G61520
156,AT5G45730
157,AT3G49970
158,TRX3
159,AT5G66658
160,AT3G61810
161,AT1G73530
162,AT3G48030
163,AT5G24510
164,AT1G75280
165,TRX2
166,BGLU1
167,AT2G34355
168,SADHU1-2
169,KAT5
170,GRP5
171,RABA5d
172,LOX2
173,AT4G02425
174,AT2G01640
175,LSF2
176,AT5G16950
177,AT3G44280
178,CSLA11
179,AT5G53880
180,HLL
181,AT5G53045
182,RLP2
183,HL
184,AGD7
185,FAF4
186,AT3G55750
187,CIB22
188,APK3
189,AT4G17480
190,AT3G19500
191,SNOR77
192,SHW1
193,AT5G57815
194,AT3G54440
195,AT3G11745
196,AT2G21340
197,EMB1444
198,AT1G04380
199,AT5G18900
200,DXR
201,AT3G52950
202,AT1G11850
203,AT4G01740
204,AT1G04800
205,AT4G09840
206,ATOZI1
207,LWD2
208,AT3G23260
209,CYP72A11
210,AT1G07480
211,AT5G58490
212,AT5G34780
213,TCP17
214,AT5G46150
215,PMT5
216,OASC
217,UGP1
218,AT2G18860
219,AT5G54400
220,AT4G08910
221,BAM6
222,UBC3
223,AT4G15930
224,PSK5
225,AT5G23520
226,AT4G28330
227,AT5G18404
228,AT3G63320
229,AT5G54940
230,AT3G14600
231,AT2G34810
232,AT4G32530
233,AT3G59320
234,AT2G45710
235,GB1
236,AT2G19460
237,AT2G40590
238,AT5G06043
239,AT3G59330
240,RPS19
241,AT2G38870
242,ATPQ
243,AT2G33220
244,AT3G03100
245,ENP
246,AT3G07190
247,UBL5
248,AT2G31940
249,TOE3
250,CYSD1
251,TBL41
252,AT3G57320
253,MES11
254,AT1G05720
255,GSTU27
256,UGT71D1
257,AT5G66080
258,ANNAT2
259,AT5G66120
260,AT2G38740
261,AT2G16510
262,AT3G52390
263,IWS2
264,AT2G21188
265,AT4G15940
266,AT2G04570
267,AT2G47710
268,AT5G51630
269,AT4G02000
270,AT5G65850
271,AT4G15765
272,CKS1
273,AT5G10605
274,FBX2
275,AT1G33290
276,AT2G13550
277,AT1G23200
278,AT1G72130
279,AT2G05290
280,AT1G48170
281,FTA
282,CRN
283,AT5G42660
284,AT1G48440
285,LEC2
286,AT4G22280
287,VPS24.1
288,AT1G65560
289,AT3G13480
290,BLH7
291,AT5G17210
292,APS1
293,AT2G20420
294,AT5G22280
295,SDH8
296,AT5G02230
297,AT3G07568
298,DSS1
299,DHAR1
300,AT5G01470
301,AT1G14450
302,AT2G04845
303,RIC7
304,AT1G73440
305,SLO1
306,CCP1
307,AT3G47010
308,AT5G13940
309,UGT85A3
310,CESA5
311,GGP1
312,AT5G20190
313,PLA-I{gamma}1
314,RLP46
315,AT1G74270
316,AT4G29020
317,AT4G14840
318,AT1G17490
319,AT5G47510
320,AT4G12340
321,AT2G36980
322,AT2G46535
323,AT5G20050
324,AT2G40280
325,AT2G31751
326,AT1G04230
327,AT5G53750
328,AT1G79080
329,AT3G58000
330,1-Aug
331,AT3G62810
332,AT3G08910
333,AT3G27997
334,MAF4
335,AT1G17360
336,CIPK2
337,AT4G37110
338,COX6B
339,AT2G44060
340,AT5G17900
341,AT1G33170
342,AT3G22850
343,GLCAK
344,AKR4C11
345,CHY1
346,AT1G15280
347,AT3G59640
348,AT5G18340
349,AT3G13440
350,AT3G23325
351,AT1G78790
352,EER5
353,AT4G27435
354,CIP8
355,BSH
356,PUR ALPHA-1
357,MIR167a
358,CYP81H1
359,AT1G04985
360,UGT85A4
361,AT1G22885
362,AT4G30993
363,AT5G02060
364,AT2G23090
365,AT4G31310
366,AT5G42850
367,ILR1
368,AT4G21740
369,SR34b
370,AT1G80120
371,AT2G35830
372,AT3G26070
373,BOR5
374,SULTR2;1
375,AT5G10050
376,AT1G73750
377,AT4G07810
378,BAG4
379,AT5G01015
380,CYT1
381,AT5G47790
382,SEH1H
383,TPK1
384,AT5G40180
385,AT2G42370
386,SD2-5
387,AT5G63690
388,AT1G67190
389,AT5G04480
390,AT3G20390
391,PSEUDOSRKA
392,AHA10
393,AT3G17380
394,AT3G47836
395,AT3G11120
396,ARF3
397,AT2G36815
398,AT5G21970
399,AT3G15480
400,TPI
401,AT2G45990
402,MYB98
403,AT5G63135
404,AT1G22800
405,WDR5b
406,AT3G59880
407,AT5G43660
408,WRNEXO
409,SDH3-2
410,VPS60.1
411,AT5G39080
412,AT2G14045
413,AT1G27700
414,AT2G32580
415,AT2G46930
416,AT4G18740
417,AT3G53650
418,AT3G14840
419,DEAR3
420,AT3G28760
421,AT1G68470
422,EMB2756
423,AT2G44380
424,SCPL9
425,PFD1
426,AT3G24516
427,PMSR2
428,AT5G27490
429,AT2G24680
430,AT3G19620
431,AT2G46290
432,AT3G50170
433,AT1G06580
434,AT2G40240
435,EFE
436,AT3G03420
437,WRKY23
438,AT1G20970
439,MAM1
440,AT4G35680
441,SPS3F
442,AT5G25280
443,ABCG3
444,AT5G40810
445,AT1G12250
446,AT3G52610
447,AT5G58005
448,AT2G21840
449,AT1G16700
450,CJD1
451,SPT42
452,AT3G03550
453,AT1G03030
454,AT1G34315
455,HINT 2
456,AT3G60180
457,AT1G49140
458,OST1
459,AT4G18593
460,RSR4
461,SPC25
462,AT3G12460
463,AT5G15320
464,scpl23
465,AT1G22140
466,KIS
467,PRA1.B3
468,KEA6
469,MGT7
470,AT4G15630
471,ATTRX4
472,MIR398c
473,GLTP1
474,DFL2
475,ZFN3
476,AT3G11110
477,PMEPCRF
478,ATP6-2
479,AT2G42770
480,G-TMT
481,AT4G13615
482,ECT10
483,PUP1
484,AT4G09580
485,AT3G30122
486,AT5G14840
487,RLP6
488,APS3
489,NAGS1
490,DEG5
491,NRPB6A
492,AT1G23560
493,AT4G21910
494,SNRK2-8
495,CYP71B20
496,PAA2
497,AT5G63905
498,AT2G44995
499,AT1G33260
500,UMAMIT1
501,AT5G04790
502,ERD9
503,AT3G51580
504,AT4G20760
505,AT1G52710
506,AT5G17010
507,AT1G06265
508,hemf2
509,AT5G53360
510,MTACP-1
511,AT3G08610
512,SCPL11
513,AT2G33855
514,AT2G43700
515,AT2G02770
516,AT3G47100
517,SQP1
518,AT5G13600
519,AT4G33690
520,IPP1
521,GK-1
522,AT4G22790
523,AT4G01245
524,AT1G07300
525,AT2G20362
526,AT2G12190
527,AT2G26030
528,AT1G20816
529,MIR163
530,RLP55
531,AT3G52220
532,AT4G29550
533,AT5G18407
534,AT3G02030
535,AT2G32070
536,AT2G02050
537,AT1G74875
538,AT4G07920
539,AT2G45590
540,AT5G57300
541,AER
542,AT2G41890
543,WRR4
544,AT5G02280
545,AT4G37225
546,CSLA10
547,AT1G22882
548,AT2G39500
549,PIN1AT
550,AT4G27560
