GENESYMBOLS,ENTREZ_ID,,
AT3G26380,1,,
AT4G11410,2,,
AT5G05750,3,,
AT5G24750,4,,
CGR3,5,,
AT3G54460,6,,
AT2G21195,7,,
AT1G09794,8,,
AT5G48020,9,,
AT2G32560,10,,
AT3G61800,11,,
RABA2D,12,,
AT1G08110,13,,
AT4G32208,14,,
ORF262,15,,
AT5G53815,16,,
AT1G06200,17,,
AT5G52840,18,,
AT5G10400,19,,
ZR3,20,,
AT3G61200,21,,
AT2G28430,22,,
SYP31,23,,
AT5G53810,24,,
AT5G50100,25,,
AT2G25450,26,,
ESP,27,,
AT5G51080,28,,
VPS25,29,,
AT5G52547,30,,
AT3G16750,31,,
AT1G76200,32,,
TBL5,33,,
MEE25,34,,
AT1G13390,35,,
AT5G51980,36,,
AT1G03940,37,,
AT1G22510,38,,
AT2G43745,39,,
UBP11,40,,
AT3G10860,41,,
AT4G21650,42,,
AT5G08460,43,,
AT5G63020,44,,
AT1G20515,45,,
AT3G24518,46,,
AT1G32583,47,,
AT5G66420,48,,
AT3G62790,49,,
AT5G16450,50,,
AT5G18920,51,,
XXT3,52,,
AT2G27730,53,,
GR-RBP5,54,,
AT1G16960,55,,
AT4G34070,56,,
HPR3,57,,
NRPB6B,58,,
AT3G26080,59,,
AT1G11905,60,,
AT3G03020,61,,
AT4G32470,62,,
AT2G28426,63,,
MAC5C,64,,
AT3G51940,65,,
AT2G29910,66,,
MEMB12,67,,
AT2G40765,68,,
AT3G18410,69,,
AT2G31490,70,,
AT1G62850,71,,
CYS1,72,,
AT1G23170,73,,
AT1G23470,74,,
AT5G51620,75,,
AT5G54064,76,,
AT1G72020,77,,
AT1G33102,78,,
AT5G03390,79,,
AT2G05260,80,,
AT3G46150,81,,
SCL33,82,,
AT2G34585,83,,
RABA4E,84,,
NIT1,85,,
AT4G03820,86,,
AT3G13437,87,,
AT2G24683,88,,
AT5G14350,89,,
AT5G45520,90,,
AT3G06310,91,,
AT4G07526,92,,
GLX1,93,,
AT2G15280,94,,
AT5G64130,95,,
AT5G23955,96,,
AT2G21190,97,,
SQE6,98,,
AT5G51795,99,,
AT5G58740,100,,
AT4G02120,101,,
AT2G05590,102,,
AT1G14340,103,,
GRXC1,104,,
DAC,105,,
AT1G19560,106,,
AT4G04750,107,,
TXR1,108,,
ROC1,109,,
AT5G18800,110,,
AT1G54260,111,,
ATX1,112,,
Lhca6,113,,
PSRP6,114,,
AT4G19050,115,,
AT4G20150,116,,
ZFWD3,117,,
NKS1,118,,
AT4G00600,119,,
AT1G69900,120,,
FMO GS-OX2,121,,
PAP12,122,,
AT3G53680,123,,
AT2G46540,124,,
AT1G67785,125,,
AT4G20340,126,,
PERK15,127,,
MLP423,128,,
AT4G10970,129,,
ENODL19,130,,
HIPP20,131,,
AT3G57600,132,,
FRI,133,,
AT1G12620,134,,
UMAMIT22,135,,
HHP5,136,,
AT1G20270,137,,
AT3G13845,138,,
PHT1;5,139,,
AT2G42365,140,,
SEN2,141,,
RUG1,142,,
SDH5,143,,
AT1G06020,144,,
AT3G20200,145,,
ABCI17,146,,
AT2G07811,147,,
AT2G38710,148,,
HIPP21,149,,
AT5G46720,150,,
ULI3,151,,
AT3G56210,152,,
CYP81K2,153,,
AT3G52050,154,,
AT3G61520,155,,
AT5G45730,156,,
AT3G49970,157,,
TRX3,158,,
AT5G66658,159,,
AT3G61810,160,,
AT1G73530,161,,
AT3G48030,162,,
AT5G24510,163,,
AT1G75280,164,,
TRX2,165,,
BGLU1,166,,
AT2G34355,167,,
SADHU1-2,168,,
KAT5,169,,
GRP5,170,,
RABA5d,171,,
LOX2,172,,
AT4G02425,173,,
AT2G01640,174,,
LSF2,175,,
AT5G16950,176,,
AT3G44280,177,,
CSLA11,178,,
AT5G53880,179,,
HLL,180,,
AT5G53045,181,,
RLP2,182,,
HL,183,,
AGD7,184,,
FAF4,185,,
AT3G55750,186,,
CIB22,187,,
APK3,188,,
AT4G17480,189,,
AT3G19500,190,,
SNOR77,191,,
SHW1,192,,
AT5G57815,193,,
AT3G54440,194,,
AT3G11745,195,,
AT2G21340,196,,
EMB1444,197,,
AT1G04380,198,,
AT5G18900,199,,
DXR,200,,
AT3G52950,201,,
AT1G11850,202,,
AT4G01740,203,,
AT1G04800,204,,
AT4G09840,205,,
ATOZI1,206,,
LWD2,207,,
AT3G23260,208,,
CYP72A11,209,,
AT1G07480,210,,
AT5G58490,211,,
AT5G34780,212,,
TCP17,213,,
AT5G46150,214,,
PMT5,215,,
OASC,216,,
UGP1,217,,
AT2G18860,218,,
AT5G54400,219,,
AT4G08910,220,,
BAM6,221,,
UBC3,222,,
AT4G15930,223,,
PSK5,224,,
AT5G23520,225,,
AT4G28330,226,,
AT5G18404,227,,
AT3G63320,228,,
AT5G54940,229,,
AT3G14600,230,,
AT2G34810,231,,
AT4G32530,232,,
AT3G59320,233,,
AT2G45710,234,,
GB1,235,,
AT2G19460,236,,
AT2G40590,237,,
AT5G06043,238,,
AT3G59330,239,,
RPS19,240,,
AT2G38870,241,,
ATPQ,242,,
AT2G33220,243,,
AT3G03100,244,,
ENP,245,,
AT3G07190,246,,
UBL5,247,,
AT2G31940,248,,
TOE3,249,,
CYSD1,250,,
TBL41,251,,
AT3G57320,252,,
MES11,253,,
AT1G05720,254,,
GSTU27,255,,
UGT71D1,256,,
AT5G66080,257,,
ANNAT2,258,,
AT5G66120,259,,
AT2G38740,260,,
AT2G16510,261,,
AT3G52390,262,,
IWS2,263,,
AT2G21188,264,,
AT4G15940,265,,
AT2G04570,266,,
